,Host_gene,Nested_gene,exp_both,exp_U,ratio_coexp,exp_host,exp_nested
354,R08C7.12,R08C7.11,0,81,0.0,81,0
355,ell-1,Y24D9A.6,0,232,0.0,232,0
356,ell-1,Y24D9A.7,1,232,0.004310344827586207,232,1
357,frm-5.2,Y38C1AB.5,0,25,0.0,0,25
358,clec-85,Y54G2A.49,6,68,0.08823529411764706,68,6
359,clec-84,Y54G2A.15,0,15,0.0,15,0
360,Y69A2AR.16,Y69A2AR.22,8,199,0.04020100502512563,197,10
361,exos-2,Y73B6BL.22,2,184,0.010869565217391304,184,2
362,bcc-1,M7.7,0,5,0.0,3,2
363,cyn-13,Y116A8C.33,3,380,0.007894736842105263,380,3
364,daf-10,flp-1,26,181,0.143646408839779,109,98
365,frm-5.1,Y38C1AB.1,0,220,0.0,220,0
366,gtl-1,C05C12.1,7,49,0.14285714285714285,30,26
367,xpo-3,C49H3.16,52,257,0.20233463035019456,246,63
368,klp-12,T01G1.2,94,370,0.25405405405405407,356,108
369,lad-2,Y54G2A.57,0,159,0.0,159,0
370,npp-8,Y41D4B.14,110,262,0.4198473282442748,218,154
371,skn-1,clec-178,32,282,0.11347517730496454,281,33
372,F56B3.4,F56B3.6,7,194,0.03608247422680412,193,8
373,smg-3,Y73B6BL.270,27,219,0.1232876712328767,206,40
374,soc-2,C24D10.5,61,239,0.25523012552301255,221,79
375,tag-30,F38H4.5,0,382,0.0,382,0
376,qns-1,col-124,23,235,0.09787234042553192,232,26
377,mogs-1,F13H10.8,141,277,0.5090252707581228,173,245
378,F21D5.5,F21D5.4,155,317,0.4889589905362776,304,168
379,cutl-17,cpin-1,28,106,0.2641509433962264,58,76
380,lron-14,col-122,8,51,0.1568627450980392,35,24
381,catp-6,col-123,0,164,0.0,164,0
382,tbc-9,Y38H8A.1,60,288,0.20833333333333334,272,76
383,tbc-9,Y45F10A.7,91,295,0.30847457627118646,272,114
384,lact-9,iscu-1,0,226,0.0,226,0
385,Y116A8C.27,Y116A8C.29,32,216,0.14814814814814814,206,42
386,ufl-1,C06G3.3,8,362,0.022099447513812154,362,8
387,C34H4.5,col-107,21,115,0.1826086956521739,50,86
388,C46A5.4,col-14,14,123,0.11382113821138211,28,109
389,C46A5.6,del-7,9,45,0.2,34,20
390,C49C8.5,C49C8.2,9,68,0.1323529411764706,36,41
391,C49C8.5,C49C8.8,1,39,0.02564102564102564,36,4
392,F15E6.9,F15E6.3,6,22,0.2727272727272727,12,16
393,F19C7.8,R105.1,0,92,0.0,91,1
394,F19C7.8,R105.5,0,91,0.0,91,0
395,F32E10.5,cec-4,233,355,0.6563380281690141,257,331
396,F36H12.17,slfl-4,0,13,0.0,13,0
397,F36H12.17,F36H12.3,0,14,0.0,13,1
398,F36H12.17,F36H12.4,0,14,0.0,13,1
399,hda-6,F41H10.5,28,322,0.08695652173913043,321,29
400,R05G6.10,R05G6.1,17,239,0.07112970711297072,226,30
401,T22D1.8,T22D1.5,5,55,0.09090909090909091,10,50
402,Y4C6A.3,Y4C6A.4,0,29,0.0,29,0
403,Y41D4A.7,Y41D4A.3,5,250,0.02,7,248
404,Y54G2A.12,Y54G2A.72,8,27,0.2962962962962963,20,15
405,nprt-1,dml-1,42,133,0.3157894736842105,118,57
406,gbb-2,ZK180.7,19,131,0.1450381679389313,104,46
407,F58D2.5,F58D2.2,5,28,0.17857142857142858,14,19
408,Y67D8C.22,Y67D8C.2,0,14,0.0,14,0
409,cpi-2,R01B10.3,66,408,0.16176470588235295,408,66
410,egl-47,fipr-11,0,9,0.0,8,1
411,xpo-1,ZK742.3,104,320,0.325,313,111
412,xpo-1,ZK742.4,115,327,0.3516819571865443,313,129
413,lin-25,W05B10.6,13,376,0.034574468085106384,376,13
414,mig-6,txt-5,0,176,0.0,176,0
415,mig-6,C37C3.12,15,191,0.07853403141361257,176,30
416,mig-6,ttr-33,8,192,0.041666666666666664,176,24
417,phy-3,tni-3,0,72,0.0,0,72
418,plc-2,Y75B12B.13,0,53,0.0,53,0
419,sec-23,nlp-69,0,299,0.0,299,0
420,srd-27,T26E4.18,0,0,0,0,0
421,twk-10,spp-20,0,6,0.0,2,4
422,twk-10,spp-26,0,2,0.0,2,0
423,twk-10,K04A8.19,0,2,0.0,2,0
424,twk-10,spp-27,0,2,0.0,2,0
425,kcnl-4,tag-191,0,20,0.0,20,0
426,clec-55,R02D5.7,2,4,0.5,3,3
427,prde-1,glb-14,2,32,0.0625,16,18
428,F23H12.5,fipr-1,0,43,0.0,43,0
429,mpst-3,H12D21.6,14,147,0.09523809523809523,146,15
430,H12D21.10,H12D21.9,25,145,0.1724137931034483,130,40
431,T01D3.3,hlh-34,19,203,0.09359605911330049,194,28
432,W06A7.4,nspa-8,5,63,0.07936507936507936,63,5
433,mltn-11,srw-76,0,0,0,0,0
434,set-22,snf-10,0,17,0.0,17,0
435,Y42A5A.1,lact-8,18,52,0.34615384615384615,29,41
436,Y42A5A.1,Y42A5A.3,2,47,0.0425531914893617,29,20
437,Y43F8B.3,phy-4,4,63,0.06349206349206349,52,15
438,Y43F8B.3,Y43F8B.19,1,52,0.019230769230769232,52,1
439,cubn-1,cyc-2.2,0,11,0.0,0,11
440,cubn-1,F56H9.9,0,0,0,0,0
441,ogdh-2,lon-3,37,248,0.14919354838709678,238,47
442,ogdh-2,ZK836.3,98,278,0.35251798561151076,238,138
443,C37H5.5,C37H5.14,0,250,0.0,250,0
444,C50E3.5,C50E3.6,25,124,0.20161290322580644,82,67
445,cwf-19L1,F17A9.4,0,300,0.0,0,300
446,cwf-19L1,F17A9.5,0,43,0.0,0,43
447,ints-9,ets-6,0,303,0.0,0,303
448,F20A1.2,F20A1.8,0,3,0.0,1,2
449,F40A3.1,F40A3.6,8,99,0.08080808080808081,57,50
450,smk-1,fip-4,0,348,0.0,348,0
451,rnst-2,str-67,0,0,0,0,0
452,rnst-2,K10C9.7,0,1,0.0,0,1
453,R13D11.4,R13D11.10,0,77,0.0,77,0
454,cest-24,T28C12.15,0,0,0,0,0
455,W08A12.3,W08A12.2,45,160,0.28125,147,58
456,Y32G9A.2,Y32G9A.12,0,3,0.0,3,0
457,Y47D7A.3,Y47D7A.17,0,2,0.0,2,0
458,Y61A9LA.3,hpo-39,3,315,0.009523809523809525,315,3
459,algn-12,ZC513.14,0,2,0.0,0,2
460,T13F3.8,T13F3.6,0,7,0.0,7,0
461,avr-15,R11G10.4,1,48,0.020833333333333332,48,1
462,cng-1,F14H8.8,22,54,0.4074074074074074,47,29
463,csn-1,Y59A8A.8,0,219,0.0,219,0
464,dnj-25,srxa-1,1,250,0.004,250,1
465,dnj-25,srxa-6,0,251,0.0,250,1
466,emb-4,ceh-51,52,272,0.19117647058823528,258,66
